project_name,artist,year,rating,tags
light up gold,parquet courts,2013,7,"indie rock, Garage Rock, 2013, post-punk, slacker rock"
resolution,lamb of god,2012,3,"groove metal, 2012, metal, metalcore, albums I own"
self-titled,jessica pratt,2012,7,"singer-songwriter, contemporary folk, 2012, acoustic, peaceful"
no love deep web,death grips,2012,2,"2012, experimental hip hop, hardcore hip hop, peniscore, industrial hip hop"
mature themes,ariel pink's haunted graffiti,2012,6,"2012, 4ad, best of 2012, psychedelic pop, vinyl"
history will absolve me,billy woods,2012,8,"2012, dark, urban, experimental hip hop, abstract"
koi no yokan,deftones,2012,6,"alternative metal, 2012, shoegaze, alternative rock, Post-Metal"
agnus dei,the secret,2012,5,"blackened hardcore, black metal, grindcore, albums I own, Crust"
ten stories,mewithoutyou,2012,6,"post-hardcore, 2012, indie rock, albums I own, art rock"
there's no leaving now,the tallest man on earth,2012,8,"2012, singer-songwriter, vinyl, folk, albums I own"
valtari,sigur rós,2012,7,"2012, ambient, post-rock, albums I own, experimental"
jesus piece,the game,2012,5,"hip hop, rap, game, the game, 2012"
2,mac demarco,2012,2,"2012, indie pop, jangle pop, indie, favorite albums"
self-titled,tnght,2012,9,"trap, 2012, electronic, best of 2012, electronica"
clockwork angels,rush,2012,6,"Progressive rock, 2012, hard rock, albums I own, jesus i want to vomit"
love is love // return to dust,code orange kids,2013,6,"hardcore, hardcore punk, metalcore, Sludge, chaotic hardcore"
fin,john talabot,2012,8,"2012, deep house, best of 2012, electronic, indie"
no idols,domo genesis,2016,5,"the alchemist, domo genesis"
port of morrow,the shins,2012,5,"2012, indie rock, albums I own, best of 2012, indie"
all we love we leave behind,converge,2012,2,"2012, metalcore, mathcore, hardcore, chaotic hardcore"
port of morrow,the shins,2012,5,"2012, indie rock, albums I own, best of 2012, indie"
life is good,nas,2012,4,"2012, rap, hip hop, best of 2012, Hip-Hop"
live from the underground,big k.r.i.t.,2012,7,"2012, Hip-Hop, rap, best of 2012, southern rap"
all we love we leave behind,converge,2012,2,"2012, metalcore, mathcore, hardcore, chaotic hardcore"
kaleidoscope dream,miguel,2012,6,"2012, soul, rnb, pop, r&b"
duality,captain murphy,2004,7,"2012, Hip-Hop, hip hop, abstract hip-hop, best of 2012"
blunderbuss,jack white,2012,6,"2012, albums I own, rock, indie, indie rock"
on acid,recondite,2012,8,"2012, best of 2012"
tramp,sharon van etten,2012,7,"2012, best of 2012, folk, albums I own, indie rock"
galaxy garden,lone,2012,8,"lush, Bleep Bloop, footwork, r&s, downtempo"
until the quiet comes,flying lotus,2012,7,"2012, electronic, idm, experimental, albums I own"
cancer for cure,el-p,2012,6,"2012, 2012 favourite albums"
mr. impossible,black dice,2012,5,"2012, experimental, albums I own, electro, experimental hip-hop"
based on a t.r.u. story,2 chainz,2012,4,"2 chainz, 2012, albums, Hip-Hop, hip hop"
in our heads,hot chip,2012,7,"2012, 10s, electronic, indietronica, synthpop"
born villain,marilyn manson,2012,3,"2012, industrial rock, albums I own, industrial metal, rock"
purple naked ladies,the internet,2011,4,"electronic, trip-hop, Hip-Hop, soul, 2011"
reign of terror,sleigh bells,2012,5,"2012, noise pop, best of 2012, indie rock, albums I own"
widowmaker,dragged into sunlight,2012,6,"2012, death metal, good, black death metal, violent"
sentenced to life,black breath,2012,8,"2012, hardcore, Crust, death metal, crust punk"
clear moon,mount eerie,2012,7,"2012, folk, indie, drone, best of 2012"
wreck,unsane,2012,7,"metal, 2012"
pbx funicular intaglio zone,john frusciante,2012,2,"2012, electronic, experimental, albums I own, John Frusciante"
coexist,the xx,2012,4,"2012, indie, electronic, albums I own, best of 2012"
noctourniquet,the mars volta,2012,7,"Progressive rock, 2012, experimental, Experimental Rock, loudness war"
is your love big enough?,lianne la havas,2012,7,"2012, soul, best of 2012, soft rock, beauty"
breakthrough,the gaslamp killer,2012,8,"2012, experimental, brainfeeder, Hip-Hop, electronic"
held,holy other,2012,6,"2012, witch house, Ambient dub, electronica, ambient"
autotheism,the faceless,2012,5,"progressive death metal, death metal, Technical Death Metal, Progressive metal, 2012"
let's go eat the factory,guided by voices,2012,6,"2012, indie, rock, revolution, indie rock"
the haunted man,bat for lashes,2012,7,"2012, dream pop, best of 2012, alternative, art pop"
book burner,pig destroyer,2012,6,"grindcore, 2012, Grind, sexy music, relapse records"
habits & contradictions,schoolboy q,2012,5,2012
numbers,mellowhype,2012,3,"trap, male vocals, hardcore hip hop, west coast hip hop, auto-tagged"
into the future,bad brains,2012,3,"reggae, hardcore, punk rock, hardcore punk, 2012"
devotion,jessie ware,2012,4,"2012, soul, Neo-Soul, Sophisti-Pop, rnb"
acousmatic sorcery,willis earl beal,2012,4,"Lo-Fi, blues, 2012, soul, alternative"
locked down,dr. john,2012,7,"2012, jazz, soul, funk, blues"
i.v.,loma prieta,2012,8,"2012, screamo, hardcore, post-hardcore, 2010s"
dripping,pile,2012,2,"2012, k, post-hardcore"
self-titled,quakers,2012,5,"2012, Hip-Hop, hip hop, electronic, albums I own"
no youth,wreck and reference,2012,7,"noise rock, 2012, drone, drone doom, free download"
book burner,pig destroyer,2012,6,"grindcore, 2012, Grind, sexy music, relapse records"
years past matter,krallice,2012,8,"2012, black metal, atmospheric black metal, progressive black metal, space black metal"
wzrd,wzrd,2012,3,"rock, alternative, alternative rock, Psychedelic Rock, 2012"
self-titled,roomful of teeth,2012,7,"choral, Avant-Garde, a cappella, complex, eclectic"
lord$ never worry,a$ap mob,2016,3,"2012, title is declarative"
sorrow and extinction,pallbearer,2012,7,"2012, doom metal, Traditional Doom Metal, albums I own, Doom"
self-titled,holograms,2012,8,"2012, post-punk, indie, swedish, 10s"
world music,goat,2012,5,"2012, Psychedelic Rock, psychedelic, Sweden, afro-beat"
spooky action at a distance,lotus plaza,2012,6,"2012, best of 2012, shoegaze, dream pop, vinyl"
love at the bottom of the sea,the magnetic fields,2012,5,"2012, indie pop, USA, 00s, indie rock"
self-titled,ondatrópica,2012,9,"cumbia, latin jazz, 2012, latin, Colombia"
widowmaker,dragged into sunlight,2012,6,"2012, death metal, good, black death metal, violent"
zeros,the soft moon,2012,4,"2012, captured tracks, post-punk, Post punk, coldwave"
made possible,the bad plus,2012,2,"jazz, contemporary jazz, nu jazz, sad, USA"
no,old man gloom,2012,6,"2012, Sludge, great, sludge metal, atmospheric sludge metal"
lux,brian eno,2012,6,"ambient, 2012, electronic, soundscape, instrumental"
skelethon,aesop rock,2012,7,"2012, albums I own, experimental, abstract hip hop, chillout"
the only place,best coast,2012,3,"2012, indie, indie pop, indie rock, Lo-Fi"
alone together,karriem riggins,2012,8,"2012, hip hop, instrumental hip-hop, instrumental, rap"
confess,twin shadow,2012,5,"2012, new wave, favorite albums, 4ad, best of 2012"
let's go eat the factory,guided by voices,2012,6,"2012, indie, rock, revolution, indie rock"
local business,titus andronicus,2012,6,"2012, indie rock, xl recordings, monochrome album covers"
honor found in decay,neurosis,2012,7,"2012, Post-Metal, doom metal, atmospheric sludge metal, atmospheric"
anx,dark time sunshine,2012,7,"Hip-Hop, hip hop, albums I own, experimental hip hop, 2012"
gossamer,passion pit,2012,6,"2012, indie pop, albums I own, synthpop, indie rock"
mu.zz.le,gonjasufi,2012,6,"2012, 10s, best of 2012, Hip-Hop, trip-hop"
key to the kuffs,jj doom,2022,6,"2012, Hip-Hop, rap, underground hip-hop, hip hop"
the stoned immaculate,curren$y,2012,3,"albums I own, best hip hop albums 2012, Rollingpapers"
'allelujah! don't bend! ascend!,godspeed you! black emperor,2012,2,"post-rock, 2012, drone, dark ambient, rock"
old ideas,leonard cohen,2012,5,"2012, singer-songwriter, folk, folk rock, leonard cohen"
celebration rock,japandroids,2012,5,"2012, indie rock, noise rock, Garage Rock, 10s"
i know what love isn't,jens lekman,2012,7,"2012, indie, secretly canadian, swedish, indie pop"
self-titled,wu-block,2012,6,"rap, Hip-Hop"
i know what love isn't,jens lekman,2012,7,"2012, indie, secretly canadian, swedish, indie pop"
self-titled,wu-block,2012,6,"rap, Hip-Hop"
celebration rock,japandroids,2012,5,"2012, indie rock, noise rock, Garage Rock, 10s"
with siinai: heartbreaking bravery,moonface,2012,6,"2012, best of 2012, jagjaguwar, love the CD cover"
the bravest man in the universe,bobby womack,2012,6,"2012, soul, vinyl, 10s, xl recordings"
attack on memory,cloud nothings,2012,8,"2012, indie rock, best of 2012, post-hardcore, indie"
possession,christian mistress,2012,8,"heavy metal, Female fronted metal, metal, 2012, relapse records"
results,murder construct,2012,8,"grindcore, death metal, 2012, relapse records"
self-titled,off!,2020,7,"punk, hardcore punk, 2012, rock, hardcore"
the horror,pop. 1280,2012,7,"2012, noise rock, WFMU Heavily Played Records"
awe naturale,theesatisfaction,2012,8,"2012, albums I own, hip hop, soul, Searching"
"world, you need a change of mind",kindness,2012,7,"2012, indie electronic, alternative dance, left-field house, Disco"
kin,iamamiwhoami,2012,8,"2012, electronic, experimental, synthpop, albums I own"
jiaolong,daphni,2012,6,"2012, experimental, House, indie, Canadian"
natural history,dope body,2012,9,"noise rock, 2012, real post-hardcore"
sinews,white suns,2012,8,"noise rock, Avant-Garde, no wave, vinyl, 2012"
open your heart,the men,2012,7,"2012, indie rock, best of 2012, noise rock, post-hardcore"
cobra juicy,black moth super rainbow,2012,5,"rad cult, demon skater, psychedelic pop, 2012, best of 2012"
ufabulum,squarepusher,2012,6,"2012, idm, Warp, electronic, british"
truant / rough sleeper,burial,2007,8,"ambient, dubstep, 2012, future garage, electronic"
piramida,efterklang,2012,5,"2012, folk, experimental, indie pop, post-rock"
america,dan deacon,2012,5,"2012, best albums of 2012, electronica, indie, experimental"
silent hour / golden mile,daniel rossen,2012,8,"2012, indie, Warp, Warp Records, 10s"
order of noise,vessel,2012,7,"2012, tri angle, 10s, roundup albums"
portico quartet,portico quartet,2011,8,"2012, jazz, modern jazz, best of 2012, nu-jazz"
swing lo magellan,dirty projectors,2012,6,"2012, best of 2012, Experimental Rock, indie, domino"
take the kids off broadway,foxygen,2012,8,"2012, psychedelic pop, Psychedelic Rock, glam rock, indie pop"
ocean roar,mount eerie,2012,5,"2012, best of 2012, post-rock, indie, rock"
see the world given to a one love entity,guardian alien,2012,6,2012
dross glop,battles,2012,6,"electronic, experimental"
yeezus,kanye west,2013,5,"2013, Hip-Hop, rap, experimental hip-hop, industrial hip-hop"
the marshall mathers lp 2,eminem,2013,7,"2013, hip hop, rap, Hip-Hop, albums I own"
random access memories,daft punk,2013,8,"2013, electronic, Disco, funk, House"
wolf,"tyler, the creator",2013,6,"2013, rap, Hip-Hop, Neo-Soul, hip hop"
melophobia,cage the elephant,2013,8,"2013, rock, alternative rock, indie rock, indie"
yessir whatever,quasimoto,2013,7,"2013, hip hop, Stones throw, albums I own, wishlist"
settle,disclosure,2013,7,"2013, House, deep house, UK Garage, electronic"
the 20/20 experience,justin timberlake,2013,5,"2013, pop, r&b, soul, albums I own"
am,arctic monkeys,2013,3,"2013, albums I own, indie rock, indie, best of 2013"
mbv,my bloody valentine,2013,8,"2013, albums I own, best of 2013, february 2013, winter 2013"
tomorrow's harvest,boards of canada,2013,6,"2013, ambient, idm, electronic, downtempo"
exai,autechre,2013,8,"idm, 2013, glitch, electronic, experimental"
indicud,kid cudi,2013,2,"2013, kid cudi, Hip-Hop, rap, Indicud"
psychic,darkside,2013,8,"2013, best of 2013, electronic, experimental, Neo-Psychedelia"
artpop,lady gaga,2013,6,"albums I own, pop, 2013, electronic, best of 2013"
the north borders,bonobo,2013,6,"2013, downtempo, electronic, albums I own, chillout"
drone logic,daniel avery,2013,2,"tech house, House, minimal techno, idm, 2013"
because the internet,childish gambino,2013,5,"2013, Hip-Hop, pop rap, rap, hip hop"
hummingbird,local natives,2013,5,"2013, indie rock, best of 2013, indie, indie pop"
self-titled,california x,2014,6,"2013, indie rock, noise rock, post-punk, Garage Rock"
aleph,gesaffelstein,2013,5,"techno, 2013, electronic, electro, best of 2013"
virgins,tim hecker,2013,9,"2013, ambient, drone, glitch, noise"
sempiternal,bring me the horizon,2013,4,"post-hardcore, metalcore, 2013, albums I own, Progressive Metalcore"
acid rap,chance the rapper,2013,6,"2013, hip hop, rap, best of 2013, Hip-Hop"
hesitation marks,nine inch nails,2013,6,"2013, industrial, industrial rock, electronic, albums I own"
kiss land,the weeknd,2013,5,"2013, albums I own, r&b, darkwave, alternative rnb"
old,danny brown,2013,7,"2013, hardcore hip hop, experimental hip hop, trap, best of 2013"
magna carta... holy grail,jay-z,2013,6,"2013, hip hop, albums I own, 2010s, Hip-Hop"
my name is my name,pusha t,2013,6,"2013, rap, Gangsta Rap, best of 2013, Hip-Hop"
the blackest beautiful,letlive.,2013,5,"post-hardcore, 2013, rock, soul, punk"
the next day,david bowie,2013,7,"2013, albums I own, rock, art rock, best of 2013"
matangi,m.i.a.,2013,7,"2013, electronic, Hip-Hop, experimental, best of 2013"
monomania,deerhunter,2013,6,"2013, indie rock, best of 2013, noise pop, rock"
reflektor,arcade fire,2013,5,"2013, albums I own, indie rock, best of 2013, 10s"
self-titled,czarface,2018,6,"Hip-Hop, rap, wu-tang"
pain is beauty,chelsea wolfe,2013,8,"Gothic Rock, hipster, pretentious, garbage, FLOP"
trap lord,a$ap ferg,2013,7,"2013, rap, trap, cloud rap, Gangsta Rap"
cupid deluxe,blood orange,2013,2,"2013, best of 2013, rnb, 2010s, soul"
6ix commandments,da mafia 6ix,2013,8,"memphis, memphis rap, trap rap, damafia6ix"
valonielu,oranssi pazuzu,2013,6,"2013, psychedelic black metal, black metal, albums I own, space rock"
holy fire,foals,2013,5,"2013, indie rock, best of 2013, albums I own, indie"
ii,unknown mortal orchestra,2013,7,"2013, best of 2013, indie rock, Lo-Fi, indie pop"
vexovoid,portal,2013,5,"2013, death metal, best of 2013, black metal, Technical Death Metal"
trouble will find me,the national,2013,4,"2013, best of 2013, indie rock, albums I own, 4ad"
immunity,jon hopkins,2013,8,"2013, idm, electronic, microhouse, best of 2013"
race music,armand hammer,2013,8,"albums I own, experimental hip hop, abstract hip-hop, abstract hip hop, east coast hip hop"
midcity,clipping,2014,8,"Hip-Hop, noise-hop, noise, power electronics, industrial hip-hop"
kismet,mr. muthafuckin' exquire,-1,7,"Hip-Hop, best cover OF ALL TIME, intergalaticbooty"
bankrupt!,phoenix,2013,5,"2013, french, alternative rock, albums I own, indie rock"
infestissumam,ghost,2013,5,"2013, heavy metal, hard rock, albums I own, doom metal"
the electric lady,janelle monáe,2013,7,"2013, soul, rnb, funk, Neo-Soul"
self-titled,mgmt,2013,6,"2013, Neo-Psychedelia, Psychedelic Rock, 10s, indie"
silence yourself,savages,2013,8,"2013, Crank wave, post-punk, best of 2013, albums I own"
shaking the habitual,the knife,2013,9,"2013, electronic, experimental, dark ambient, best of 2013"
apocalypse,thundercat,2013,3,"2013, electronic, brainfeeder, nu jazz, jazz"
long.live.a$ap,a$ap rocky,2013,7,"2013, Hip-Hop, rap, cloud rap, hip hop"
paracosm,washed out,2013,6,"2013, chillwave, electronic, Dreamy, best of 2013"
innocence is kinky,jenny hval,2013,7,"2013, best of 2013, best albums of 2013, experimental, singer-songwriter"
the man who died in his boat,grouper,2013,7,"2013, ambient, drone, folk, slowcore"
overgrown,james blake,2013,7,"2013, best of 2013, electronic, post-dubstep, soul"
howl,this routine is hell,2022,8,"2013, hardcore punk, Bandcamp, need, 20 Minute Album"
the raven that refused to sing (and other stories),steven wilson,2013,5,"Progressive rock, 2013, albums I own, jazz fusion, female vocalists"
rival dealer,burial,2014,5,"2013, future garage, electronic, ambient, experimental"
self-titled,run the jewels,2016,8,"2013, Hip-Hop, hip hop, best of 2013, hardcore hip hop"
king remembered in time,big k.r.i.t.,2021,7,"2013, mississippi, cinematic music group, best mixtape 2013, KRIT"
nothing was the same,drake,2013,5,"2013, Drake, hip hop, rap, best of 2013"
floating coffin,thee oh sees,2013,5,"2013, rock, albums I own, Garage Rock, Psychedelic Rock"
entrench,ken mode,2013,7,"2013, mathcore, hardcore, post-hardcore, sludge metal"
clash the truth,beach fossils,2013,8,"2013, indie rock, indie, 10s, best of 2013"
true romance,charli xcx,2013,3,"2013, synthpop, pop, electronic, best of 2013"
sunbather,deafheaven,2013,8,"2013, blackgaze, Post-Black Metal, black metal, shoegaze"
oddfellows,tomahawk,2012,6,"2013, experimental, alternative metal, rock, alternative rock"
r plus seven,oneohtrix point never,2013,6,"2013, vaporwave, electronic, ambient, Progressive Electronic"
the headless ritual,autopsy,2013,6,"death metal, old school death metal, 2013, best of 2013, metal"
knock madness,hopsin,2013,3,"albums I own, 2013, bogus"
beautiful rewind,four tet,2013,7,"2013, electronic, electronica, indie, british"
ghost at the finish line,quelle chris,2013,7,albums I own
watching movies with the sound off,mac miller,2013,6,"2013, mac miller, Mac miller album"
the night's gambit,ka,2013,8,"hip hop, albums I own"
once i was an eagle,laura marling,2013,7,"2013, contemporary folk, best of 2013, folk, indie folk"
heartthrob,tegan and sara,2013,3,"2013, pop, indie pop, female vocalists, indie"
anything in return,toro y moi,2013,4,"2013, best of 2013, electronic, chillwave, synthpop"
how to stop your brain in an accident,future of the left,2013,8,"2013, rock, punk, alternative, alternative rock"
summer knights,joey bada$$,2013,7,"2013, hip hop, boom bap, east coast hip-hop, Hip-Hop"
doris,earl sweatshirt,2013,6,"2013, Hip-Hop, rap, odd future, best of 2013"
burials,afi,2013,2,"alternative rock, rock, Gothic Rock, british, goth"
government plates,death grips,2013,6,"experimental hip hop, 2013, industrial hip hop, glitch hop, abstract hip hop"
abandon all life,nails,2013,7,"grindcore, 2013, powerviolence, hardcore, metal"
you're nothing,iceage,2013,8,"2013, post-punk, noise rock, punk, albums I own"
new moon,the men,2013,4,"2013, noise rock, post-punk, indie, rock"
lung,little women,2013,6,"noise, Avant-Garde, free jazz, gammarec, post-avant jazzcore"
home,nosaj thing,2013,5,"2013, glitch, 10s, electronic, electronica"
tempest,lycus,2013,7,"funeral doom metal, epic, Doom, funeral doom, funeral sludge"
hokey fright,the uncluded,2013,7,"2013, anti-folk, experimental hip-hop, kimya dawson is the coolest person ever, the cadillac of natural disaster"
comedown machine,the strokes,2013,5,"2013, indie rock, albums I own, new wave, brunelds"
...like clockwork,queens of the stone age,2013,9,"2013, Stoner Rock, alternative rock, hard rock, albums I own"
fetch,melt-banana,2013,9,"noise rock, 2013, Experimental Rock, noise pop, art punk"
loud city song,julia holter,2013,8,"2013, art pop, chamber pop, ambient pop, dream pop"
6 feet beneath the moon,king krule,2013,7,"2013, post-punk, rock, alternative rock, best of 2013"
one of us is the killer,the dillinger escape plan,2013,8,"mathcore, 2013, experimental, metalcore, albums I own"
push the sky away,nick cave and the bad seeds,2013,5,"2013, best of 2013, alternative rock, albums I own, post-punk"
born sinner,j. cole,2013,5,"2013, hip hop, j cole, born sinner, rap"
something else,tech n9ne,2013,4,"hip hop, rap, 2013"
hit the waves,the mary onettes,2013,7,"2013, indie pop, new wave, synth pop, Electro Pop"
obsidian,baths,2013,6,"2013, best of 2013, electronic, glitch, indie"
self-titled,factory floor,2013,6,"2013, electronic, best albums of 2013, dance, post-punk"
flying colours,shad,2013,7,"2013, Black Box Recordings"
dream river,bill callahan,2013,8,"2013, folk, Drag City, singer-songwriter, americana"
dour candy,billy woods,2013,7,"rap, 2013 releases, finished"
the underground resistance,darkthrone,2013,6,"2013, heavy metal, black metal, speed metal, metal"
return to annihilation,locrian,2013,6,"experimental, drone, noise, psychedelic, 2013"
is survived by,touché amoré,2013,8,"2013, post-hardcore, screamo, melodic hardcore, hardcore"
self-titled,comadre,1999,8,"hardcore, hardcore punk"
nature noir,crystal stilts,2013,6,"2013, post-rock, post-punk, garage rock revival, Psychedelic Rock"
colored sands,gorguts,2013,8,"2013, death metal, Technical Death Metal, Avant-Garde Death Metal, progressive death metal"
gnk,yc the cynic,2013,8,"Hip-Hop, rap"
general dome,buke and gase,2013,8,"2013, best of 2013, 3, february, 2013 releases"
general dome,buke and gase,2013,8,"2013, best of 2013, 3, february, 2013 releases"
forever,holograms,2013,6,"post-punk, 2013, indie, captured tracks, registret"
hubardo,kayo dot,2013,7,"2013, Avant-garde Metal, black metal, Progressive metal, post-rock"
dynamics,holy ghost!,2013,7,"2013, electronic, electropop, synthpop, alternative dance"
afraid of heights,wavves,2013,6,"2013, Garage Rock, rock, indie, alternative"
crusher,grave babies,2013,7,2
legends never die,r.a. the rugged man,2013,6,"albums I own, 2013, underground hip hop, title is declarative"
indigoism,the underachievers,2013,7,"2013, Hip-Hop, rap, new york, underground hip hop"
mosquito,yeah yeah yeahs,2013,5,"2013, indie rock, albums I own, best of 2013, rock"
the blind hole,dead in the dirt,2013,6,"grindcore, hardcore, powerviolence, post-hardcore, heavy metal"
teethed glory and injury,altar of plagues,2013,9,"black metal, atmospheric black metal, best of 2013, 2013, Post-Black Metal"
nostalgic 64,denzel curry,-1,7,"memphis rap, trap rap, Hip-Hop, cloud rap, hardcore hip hop"
amok,atoms for peace,2013,7,"2013, electronic, albums I own, experimental, best of 2013"
self-titled,melt yourself down,2013,7,"2013, albums I own, funk, saxophone, check out"
har nevo,the black heart rebellion,2012,7,"post-rock, post-hardcore, dark folk, hardcore, experimental"
with love,zomby,2013,5,"2013, 4ad, 10s, uk bass, electronic"
{awayland},villagers,2013,7,"2013, indie, singer-songwriter, indie rock, irish"
nostalchic,lapalux,2013,7,"2013, future garage, best of 2013, brainfeeder, albums I own"
muchacho,phosphorescent,2013,6,"2013, best of 2013, americana, indie folk, favourite albums"
fever hunting,modern life is war,2013,7,"melodic hardcore, 2013, hardcore punk, hardcore, deathwish inc"
the inheritors,james holden,2013,7,"techno, idm, 2013, electronic, microhouse"
lousy with sylvianbriar,of montreal,2013,8,"2013, indie rock, Psychedelic Rock, indie, psychedelic"
no poison no paradise,black milk,2013,8,"hip hop, Hip-Hop, albums I own, USA, 2013"
endless night,toad,2021,7,"black metal, Sludge"
betteroffdead,flatbush zombies,2018,8,"2013, underground, favourite albums, FLATBUSH, new new york"
dysnomia,dawn of midi,2015,5,"minimalism, 2013, minimal jazz, jazz, minimal music"
meir,kvelertak,2013,8,"2013, hardcore, black metal, Black n Roll, metal"
chemistry of consciousness,toxic holocaust,2013,6,"thrash metal, blackened thrash metal, 2013, black metal, albums I own"
slow focus,fuck buttons,2013,6,"2013, electronic, best of 2013, experimental, drone"
big machines and peculiar beings,the debauchees,2013,7,cool cats
body music,alunageorge,2014,7,"2013, electronic, pop, synthpop, rnb"
modern vampires of the city,vampire weekend,2013,7,"2013, indie rock, albums I own, best of 2013, indie pop"
wakin on a pretty daze,kurt vile,2013,8,"2013, indie rock, 2010s, best of 2013, indie"
blood tears,sisu,2013,6,indie
static,cults,2013,4,"2013, indie rock, indie pop, twee pop, indie"
hanging gardens,classixx,2013,6,"2013, electronic, indie, experimental, Playlist"
laid out,shlohmo,2013,8,witch house
silver wilkinson,bibio,2013,7,"2013, electronic, experimental, post-rock, downtempo"
an object,no age,2013,6,"indie rock, Lo-Fi, noise pop, 2013, rock"
excavation,the haxan cloak,2013,8,"2013, dark ambient, electronic, experimental, drone"
fade,yo la tengo,2013,7,"2013, indie, indie rock, 10s, best of 2013"
vertikal,cult of luna,2013,5,"2013, Post-Metal, Progressive metal, Sludge, albums I own"
woman,rhye,2013,6,"2013, best of 2013, Sophisti-Pop, soul, downtempo"
the terror,the flaming lips,2013,6,"2013, experimental, Neo-Psychedelia, Experimental Rock, psychedelic"
quantum leap,dumbo gets mad,2013,6,"boobs on cover, dream pop, 2013, psych pop"
i see seaweed,the drones,2013,8,"2013, punk blues, best of 2013"
endless fantasy,anamanaguchi,2013,6,"chiptune, 2013, bitpop, electronic, pop punk"
the eulogy,cakes da killa,2022,8,best of 2013
blood donation,mariam the believer,2013,8,"2013, best of 2013, discovered in 2013"
julia with blue jeans on,moonface,2013,7,"2013, Mellow, favourite albums, best of 2013, Heartbreaking"
honeys,pissed jeans,2013,7,"2013, noise rock, best of 2013, indie, rock"
miracle mile,strfkr,2013,3,"electronic, indie, indie pop, synthpop, 2013"
waiting for something to happen,veronica falls,2013,6,"2013, indie pop, twee, best of 2012, best of 2013"
new history warfare vol. 3: to see more light,colin stetson,2013,7,"2013, best of 2013, avant-jazz, Constellation, Playlist"
"night time, my time",sky ferreira,2013,4,"2013, best of 2013, noise pop, indie rock, synthpop"
piñata,freddie gibbs & madlib,2014,9,albums I own
to be kind,swans,2014,1,"2014, post-rock, Experimental Rock, experimental, noise rock"
the endless river,pink floyd,2014,6,"2014, Progressive rock, ambient, rock, instrumental"
the satanist,behemoth,2014,9,"2014, Blackened Death Metal, black metal, death metal, albums I own"
syro,aphex twin,2014,6,"idm, 2014, electronic, acid techno, drill and bass"
broke with expensive taste,azealia banks,2014,5,"2014, best of 2014, rap, trap, hip-house"
recess,skrillex,2014,5,"2014, dubstep, electronic, Brostep, trap"
mandatory fun,"""weird al"" yankovic",2014,7,"Comedy Rock, 2014, comedy, humor, badass"
black messiah,d'angelo and the vanguard,2014,8,"2014, classic, albums I own, best albums, rca"
1000 forms of fear,sia,2015,7,"2014, albums I own, pop, best of 2014, electronic"
2014 forest hills drive,j. cole,2014,6,"2014, hip hop, Hip-Hop, rap, boom bap"
the church,mr. oizo,2014,7,"albums I own, 2014, bombastic, brainfeeder"
benji,sun kil moon,2014,9,"2014, singer-songwriter, best of 2014, folk, contemporary folk"
from all purity,indian,2013,8,"2014, Sludge, sludge metal, drone metal, 2014: albums"
"home, like noplace is there",the hotelier,2014,10,"2014, emo, pop punk, punk, sad"
ultraviolence,lana del rey,2014,2,"2014, Psychedelic Rock, desert rock, albums I own, dream pop"
indigo child,raury,2015,4,"2014, wishlist, colours, best of 2014, columbia records"
awake,tycho,2014,6,"2014, electronic, indie, instrumental, ambient"
welcome to fazoland,lil herb,2016,7,2014
g i r l,pharrell,2014,3,"2014, pop, Hip-Hop, Disco, electronic"
in conflict,owen pallett,2014,7,"2014, chamber pop, art pop, 2014: albums, indie"
plowing into the field of love,iceage,2014,9,"2014, post-punk, noise rock, Gothic Rock, best of 2014"
reality testing,lone,2014,3,"2014, albums I own, idm, lone"
white women,chromeo,2014,5,"2014, electronic, Disco, electropop, dance"
vi: flora,botanist,2014,8,"folk metal, black metal, wishlist, Avant-garde Metal, 2014"
present tense,wild beasts,2014,7,"2014, indie rock, best of 2014, domino, electronica"
honest,future,2014,2,"2014, future, hip hop, best of 2014"
self-titled,st. vincent,2015,7,"2014, art pop, best of 2014, noise pop, albums I own"
esoteric warfare,mayhem,2014,7,"black metal, 2014, Norwegian Black Metal, best of 2014, 2014: albums"
perfect hair,busdriver,2014,8,"experimental hip hop, abstract hip hop, albums I own, glitch, trap"
the flesh prevails,fallujah,2014,4,"2014, death metal, Technical Death Metal, progressive death metal, best of 2014"
primitive and deadly,earth,2014,6,"2014, drone, Stoner Rock, psychedelic, Psychedelic Rock"
nikki nack,tune-yards,2014,8,"2014, experimental, albums I own, freak folk, best of 2014"
roads to the north,panopticon,2014,8,"2014, black metal, atmospheric black metal, folk metal, metalcore"
labyrinth constellation,artificial brain,2014,8,"2014, Technical Death Metal, death metal, Dissonant Death Metal, progressive death metal"
morning phase,beck,2014,4,"2014, folk rock, albums I own, 10s, indie"
worlds,porter robinson,2014,5,"electronic, 2014, electropop, synthpop, pop"
time to die,electric wizard,2014,5,"doom metal, 2014, stoner metal, stoner doom metal, Sludge"
lp1,fka twigs,2014,8,"2014, alternative rnb, electronic, art pop, best of 2014"
.5: the gray chapter,slipknot,2014,4,"Nu Metal, 2014, alternative metal, alternative rock, groove metal"
built on glass,chet faker,2014,3,"2014, soul, downtempo, electronic, best of 2014"
cellar door: terminus ut exordium,the underachievers,2014,7,"rap, 2014, east coast hip-hop, cloud rap"
everyday robots,damon albarn,2014,5,"2014, electronic, folktronica, best of 2014, trip hop"
